dataset_id,model_id,model_variant,feature_protocol_id,task_id,window_protocol,epoch,train_loss_mean,train_loss_last,train_forecast_loss_mean,train_forecast_loss_last,train_hist_recon_loss_mean,train_hist_recon_loss_last,train_farm_loss_mean,train_farm_loss_last,train_met_loss_mean,train_met_loss_last,train_innovation_loss_mean,train_innovation_loss_last,val_mae_pu,val_rmse_pu,best_val_mae_pu,best_val_rmse_pu,is_best_epoch,epochs_without_improvement,train_batch_count,train_window_count,val_window_count,device,seed,batch_size,learning_rate,amp_enabled
kelmarsh,WORLD_MODEL,world_model_state_space_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,1,0.2638697756605833,0.21557146310806274,0.1177514843423587,0.10333841294050217,0.29593176006524624,0.16577699780464172,0.6923966884602064,0.6672796010971069,0.35353099431580404,0.24662278592586517,0.1571854201801001,0.18558338284492493,0.11152005405458462,0.16985152623701788,0.11152005405458462,0.16985152623701788,true,0,755,325905,47139,cuda,3407,432,0.0002,true
kelmarsh,WORLD_MODEL,world_model_state_space_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,2,0.20053120244935832,0.18640032410621643,0.10350394995433285,0.10012193769216537,0.1272740348703748,0.10307297110557556,0.6244011288632481,0.5761438608169556,0.1822758355888851,0.16063380241394043,0.18538881381980055,0.17706993222236633,0.10973140747692427,0.16814029460072666,0.10973140747692427,0.16814029460072666,true,0,755,325905,47139,cuda,3407,432,0.0002,true
kelmarsh,WORLD_MODEL,world_model_state_space_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,3,0.18333565349527173,0.18135188519954681,0.10041112940594381,0.10714635998010635,0.09039325291423675,0.07894899696111679,0.5697350406973735,0.507480263710022,0.15710791691794115,0.15302632749080658,0.16971808673405267,0.16398265957832336,0.11023083684191755,0.17059219654963678,0.10973140747692427,0.16814029460072666,false,1,755,325905,47139,cuda,3407,432,0.0002,true
kelmarsh,WORLD_MODEL,world_model_state_space_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,4,0.1734450216950805,0.16762347519397736,0.09896085088260813,0.09859323501586914,0.07312413122467742,0.06652691960334778,0.5239315976836818,0.4839942157268524,0.14900866175861602,0.14620362222194672,0.15750670866479138,0.15259571373462677,0.10814295013894464,0.16652588621746928,0.10814295013894464,0.16652588621746928,true,0,755,325905,47139,cuda,3407,432,0.0002,true
kelmarsh,WORLD_MODEL,world_model_state_space_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,5,0.1662466547005734,0.16754604876041412,0.09782575576504392,0.09924563020467758,0.06294741304926071,0.060989223420619965,0.48631272577282564,0.48833104968070984,0.14370133478453206,0.14509542286396027,0.150760087660844,0.14711590111255646,0.107702039112355,0.16646242106734874,0.107702039112355,0.16646242106734874,true,0,755,325905,47139,cuda,3407,432,0.0002,true
kelmarsh,WORLD_MODEL,world_model_state_space_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,6,0.16068256450060425,0.16540509462356567,0.09668855851055502,0.10349830985069275,0.0569729628699875,0.05785852670669556,0.45575506495377094,0.4317261874675751,0.14018667571035043,0.1429654210805893,0.14572508472171014,0.1418156623840332,0.10692414883303619,0.1645081041164445,0.10692414883303619,0.1645081041164445,true,0,755,325905,47139,cuda,3407,432,0.0002,true
kelmarsh,WORLD_MODEL,world_model_state_space_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,7,0.15582707551417582,0.16389413177967072,0.09526772630614122,0.102187380194664,0.05332323511631297,0.051920704543590546,0.4299197740137163,0.4424331784248352,0.13777504046348343,0.1413084864616394,0.13971845255741594,0.1385309249162674,0.10941817941952393,0.16828691100134813,0.10692414883303619,0.1645081041164445,false,1,755,325905,47139,cuda,3407,432,0.0002,true
kelmarsh,WORLD_MODEL,world_model_state_space_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,8,0.15129409418571022,0.15939484536647797,0.09360856291371493,0.09931761771440506,0.051009769407764735,0.05273646116256714,0.4068275581466985,0.4179992377758026,0.13574843719500812,0.15433576703071594,0.13399173501580125,0.1322191208600998,0.10842964706157762,0.1682418169108301,0.10692414883303619,0.1645081041164445,false,2,755,325905,47139,cuda,3407,432,0.0002,true
kelmarsh,WORLD_MODEL,world_model_state_space_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,9,0.14704038953972615,0.15020005404949188,0.09182420019805362,0.09542480856180191,0.04979971588788187,0.04711000621318817,0.38532307561730944,0.3842926621437073,0.13421517912290382,0.13821789622306824,0.13178761411732073,0.13086958229541779,0.11000549990166068,0.1701215161702272,0.10692414883303619,0.1645081041164445,false,3,755,325905,47139,cuda,3407,432,0.0002,true
kelmarsh,WORLD_MODEL,world_model_state_space_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,10,0.14260687731854876,0.12793800234794617,0.08970459344223607,0.0809779241681099,0.04904741136339271,0.04806236922740936,0.3643618061222966,0.3064725697040558,0.13287225391206703,0.13375285267829895,0.130076498422658,0.12705965340137482,0.11109376729598974,0.17359276321951872,0.10692414883303619,0.1645081041164445,false,4,755,325905,47139,cuda,3407,432,0.0002,true
