dataset_id,model_id,model_variant,task_id,window_protocol,history_steps,forecast_steps,stride_steps,split_protocol,split_name,eval_protocol,metric_scope,lead_step,lead_minutes,window_count,prediction_count,start_timestamp,end_timestamp,mae_kw,rmse_kw,mae_pu,rmse_pu,coordinate_mode,node_count,local_input_channels,context_channels,static_feature_count,pairwise_feature_count,node_state_dim,hidden_state_dim,latent_state_dim,global_state_dim,message_dim,edge_hidden_dim,tau_embed_dim,dropout,grad_clip_norm,device,runtime_seconds,train_window_count,val_window_count,test_window_count,best_epoch,epochs_ran,best_val_rmse_pu,seed,batch_size,learning_rate,hist_loss_weight,aux_turbine_loss_weight,aux_site_loss_weight,consistency_loss_weight
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,10,100,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,203.87019373189312,292.54713680362346,0.09944887459992319,0.14270591992620335,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,11,110,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,209.97294280347208,299.45215491030103,0.1024258253012406,0.14607422186869398,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,12,120,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,215.07641981129353,305.79126288822397,0.10491532664642154,0.14916647018524537,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,13,130,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,220.8358427079672,311.9286745883324,0.10772480090879885,0.152160329099519,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,14,140,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,225.27727709740165,317.74610093500047,0.10989135430739418,0.15499809868455192,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,15,150,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,230.19995176215824,323.08991085279644,0.11229265964620239,0.15760483455667798,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,16,160,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,234.62900769897146,328.2657854372668,0.11445317430268108,0.16012965179835825,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,17,170,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,239.22576863232752,333.17600181949643,0.11669549763207535,0.16252487857064848,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,18,180,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,242.0020004516733,337.84899909208974,0.11804975671983634,0.16480438918687024,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,19,190,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,246.62810941444235,342.20823210897197,0.12030639577198288,0.1669308451903676,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
