dataset_id,model_id,model_variant,feature_protocol_id,task_id,window_protocol,epoch,train_loss_mean,train_loss_last,train_future_loss_mean,train_future_loss_last,train_hist1_loss_mean,train_hist1_loss_last,train_aux_turbine_loss_mean,train_aux_turbine_loss_last,train_aux_site_loss_mean,train_aux_site_loss_last,train_consistency_loss_mean,train_consistency_loss_last,val_rmse_pu,best_val_rmse_pu,is_best_epoch,epochs_without_improvement,train_batch_count,train_window_count,val_window_count,device,seed,batch_size,learning_rate
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,1,0.05434954976894606,0.06937690824270248,0.01617445930897681,0.02006417326629162,0.002718113561249764,0.0018355128122493625,0.016356187865424504,0.019023828208446503,0.3446454293650403,0.463740736246109,0.0251898778306314,0.00971242692321539,0.1613254164217731,0.1613254164217731,true,0,1274,325905,47139,cuda,42,256,0.001
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,2,0.04764620014752039,0.05327998846769333,0.01391104160956353,0.017044182866811752,0.0017468522791893254,0.0016342573799192905,0.013987283160934958,0.015925822779536247,0.3139495115389812,0.3364182114601135,0.008348454174537731,0.010222503915429115,0.1662054700127373,0.1613254164217731,false,1,1274,325905,47139,cuda,42,256,0.001
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,3,0.040930290430598135,0.031527116894721985,0.011883109073449095,0.009779710322618484,0.0018029643051344906,0.001514866016805172,0.011940736531091905,0.009906417690217495,0.2694251318799153,0.2014169692993164,0.007394096614173318,0.003212174866348505,0.17715995077298446,0.1613254164217731,false,2,1274,325905,47139,cuda,42,256,0.001
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,4,0.029386763743555793,0.015349172987043858,0.008583834317354539,0.0044596013613045216,0.0017475286546463585,0.0013478245818987489,0.008639979803456122,0.004523589741438627,0.19091946113244196,0.09793882071971893,0.006454527891776381,0.004779667593538761,0.19356713256607716,0.1613254164217731,false,3,1274,325905,47139,cuda,42,256,0.001
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,5,0.022521415756733096,0.03259234130382538,0.006754043714082225,0.009911402128636837,0.001663807030995443,0.0014234224800020456,0.00679703675319581,0.01025963481515646,0.14306679972199568,0.20931421220302582,0.005636920306320765,0.005930507089942694,0.20071322566962152,0.1613254164217731,false,4,1274,325905,47139,cuda,42,256,0.001
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,6,0.019371746936574525,0.014767752960324287,0.005954235463323051,0.0053854952566325665,0.0016143882755697424,0.0022206262219697237,0.005996350358386747,0.0055803293362259865,0.12075793890538014,0.07486139237880707,0.005155317169576401,0.013437935151159763,0.19876758098659605,0.1613254164217731,false,5,1274,325905,47139,cuda,42,256,0.001
penmanshiel,WORLD_MODEL,world_model_rollout_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,1,0.15463934158812895,0.11249462515115738,0.02016156831032098,0.012907459400594234,0.003381953249676562,0.0030754245817661285,0.020132665701168086,0.012629958800971508,1.2850264797935964,0.9513119459152222,0.05894540894082334,0.0454070083796978,0.2044614494201971,0.2044614494201971,true,0,4892,313043,44954,cuda,42,64,0.001
penmanshiel,WORLD_MODEL,world_model_rollout_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,2,0.13533335879065647,0.09184621274471283,0.01708755118698802,0.009211772121489048,0.0034452100114244835,0.0035704346373677254,0.017071034422720163,0.0093061663210392,1.1326838940221968,0.7863944172859192,0.044734998467302174,0.03986509144306183,0.22016725136812568,0.2044614494201971,false,1,4892,313043,44954,cuda,42,64,0.001
penmanshiel,WORLD_MODEL,world_model_rollout_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,3,0.09653067282319946,0.07897347956895828,0.011355607947688175,0.008481321856379509,0.0029893266009709905,0.0019120698561891913,0.011427448582199264,0.008853201754391193,0.8134552507995975,0.6831339597702026,0.03579991001842188,0.014396530576050282,0.24243253983691937,0.2044614494201971,false,2,4892,313043,44954,cuda,42,64,0.001
penmanshiel,WORLD_MODEL,world_model_rollout_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,4,0.07561587521001147,0.0738820880651474,0.008681500485462516,0.007641322445124388,0.002899340224699922,0.003024857258424163,0.008749797421495491,0.007621218450367451,0.6360667519957091,0.6349266171455383,0.03165833057940522,0.021570419892668724,0.24585359333319162,0.2044614494201971,false,3,4892,313043,44954,cuda,42,64,0.001
penmanshiel,WORLD_MODEL,world_model_rollout_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,5,0.06598398777850299,0.030409283936023712,0.00760247977871982,0.0034241906832903624,0.0028338852333463526,0.0020699508022516966,0.007670247398083836,0.0035550107713788748,0.5532482656505845,0.2514859139919281,0.02878980538934413,0.017200354486703873,0.24707418883949614,0.2044614494201971,false,4,4892,313043,44954,cuda,42,64,0.001
penmanshiel,WORLD_MODEL,world_model_rollout_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,6,0.06025233115290957,0.05218035355210304,0.007003311522288697,0.0054466561414301395,0.0027881101421253426,0.0024179411120712757,0.007059462224101078,0.005590780172497034,0.5036448840452654,0.4413173198699951,0.026843022883904877,0.02635008841753006,0.24655183993426646,0.2044614494201971,false,5,4892,313043,44954,cuda,42,64,0.001
