dataset_id,model_id,model_variant,feature_protocol_id,task_id,window_protocol,baseline_type,hidden_dim,embed_dim,num_layers,cheb_k,teacher_forcing_ratio,patch_len,encoder_layers,ff_hidden_dim,residual_channels,skip_channels,end_channels,gcn_depth,mtgnn_layers,subgraph_size,node_embed_dim,dilation_exponential,propalpha,epoch,train_loss_mean,train_loss_last,val_mae_pu,val_rmse_pu,best_val_mae_pu,best_val_rmse_pu,is_best_epoch,epochs_without_improvement,train_batch_count,train_window_count,val_window_count,device,seed,batch_size,learning_rate,amp_enabled
kelmarsh,WORLD_MODEL_BASELINE,world_model_shared_weight_timexer_no_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,shared_weight_timexer_no_graph,,,,,,24,2,256,,,,,,,,,,2,0.04697185297853695,0.03535625338554382,0.14314114889451188,0.19714110567563334,0.14314114889451188,0.19714110567563334,true,0,30554,325905,47139,mps,3407,64,0.0001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_shared_weight_timexer_no_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,shared_weight_timexer_no_graph,,,,,,24,2,256,,,,,,,,,,3,0.046823013274589896,0.049809932708740234,0.1433751307418707,0.19723992602702684,0.14314114889451188,0.19714110567563334,false,1,30554,325905,47139,mps,3407,64,0.0001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_shared_weight_timexer_no_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,shared_weight_timexer_no_graph,,,,,,24,2,256,,,,,,,,,,4,0.046738498150023025,0.040309518575668335,0.14309064516599643,0.19727884308335852,0.14309064516599643,0.19727884308335852,true,0,30554,325905,47139,mps,3407,64,0.0001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_shared_weight_timexer_no_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,shared_weight_timexer_no_graph,,,,,,24,2,256,,,,,,,,,,5,0.046658412616365,0.023652054369449615,0.14276271578573507,0.19696169495219473,0.14276271578573507,0.19696169495219473,true,0,30554,325905,47139,mps,3407,64,0.0001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_shared_weight_timexer_no_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,shared_weight_timexer_no_graph,,,,,,24,2,256,,,,,,,,,,6,0.04659378809665469,0.04397990182042122,0.14288921844950278,0.19689235673479616,0.14276271578573507,0.19696169495219473,false,1,30554,325905,47139,mps,3407,64,0.0001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_shared_weight_timexer_no_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,shared_weight_timexer_no_graph,,,,,,24,2,256,,,,,,,,,,7,0.0465293404964241,0.047179095447063446,0.14277984753604564,0.19705845979351083,0.14276271578573507,0.19696169495219473,false,2,30554,325905,47139,mps,3407,64,0.0001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_shared_weight_timexer_no_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,shared_weight_timexer_no_graph,,,,,,24,2,256,,,,,,,,,,8,0.0464697127032435,0.040115367621183395,0.1428526346502789,0.19709644486365038,0.14276271578573507,0.19696169495219473,false,3,30554,325905,47139,mps,3407,64,0.0001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_shared_weight_timexer_no_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,shared_weight_timexer_no_graph,,,,,,24,2,256,,,,,,,,,,9,0.046416538773684374,0.046700503677129745,0.14287112645650596,0.19709674477212852,0.14276271578573507,0.19696169495219473,false,4,30554,325905,47139,mps,3407,64,0.0001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_shared_weight_timexer_no_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,shared_weight_timexer_no_graph,,,,,,24,2,256,,,,,,,,,,10,0.04637173296673465,0.0330175906419754,0.1427424173642818,0.19703799305699826,0.1427424173642818,0.19703799305699826,true,0,30554,325905,47139,mps,3407,64,0.0001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_shared_weight_timexer_no_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,shared_weight_timexer_no_graph,,,,,,24,2,256,,,,,,,,,,11,0.046324275638472544,0.03824666887521744,0.14275595289432166,0.19698109120704113,0.1427424173642818,0.19703799305699826,false,1,30554,325905,47139,mps,3407,64,0.0001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_shared_weight_timexer_no_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,shared_weight_timexer_no_graph,,,,,,24,2,256,,,,,,,,,,12,0.046267395239005665,0.04783489927649498,0.14303450843286045,0.19719946441802066,0.1427424173642818,0.19703799305699826,false,2,30554,325905,47139,mps,3407,64,0.0001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_shared_weight_timexer_no_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,shared_weight_timexer_no_graph,,,,,,24,2,256,,,,,,,,,,13,0.04621491169124546,0.04995337128639221,0.14284495771307026,0.19722183490368406,0.1427424173642818,0.19703799305699826,false,3,30554,325905,47139,mps,3407,64,0.0001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_shared_weight_timexer_no_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,shared_weight_timexer_no_graph,,,,,,24,2,256,,,,,,,,,,14,0.04617616259319117,0.04872797802090645,0.14278679851958426,0.19724031049346372,0.1427424173642818,0.19703799305699826,false,4,30554,325905,47139,mps,3407,64,0.0001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_shared_weight_timexer_no_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,shared_weight_timexer_no_graph,,,,,,24,2,256,,,,,,,,,,15,0.046121234306140915,0.055873021483421326,0.1428847272845799,0.197133041802349,0.1427424173642818,0.19703799305699826,false,5,30554,325905,47139,mps,3407,64,0.0001,false
