dataset_id,model_id,model_variant,task_id,window_protocol,history_steps,forecast_steps,stride_steps,split_protocol,split_name,eval_protocol,metric_scope,lead_step,lead_minutes,window_count,prediction_count,start_timestamp,end_timestamp,mae_kw,rmse_kw,mae_pu,rmse_pu,coordinate_mode,node_count,local_input_channels,context_history_channels,context_future_channels,static_feature_count,pairwise_feature_count,baseline_type,uses_graph,uses_pairwise,uses_global_latent,uses_future_observations,hidden_dim,embed_dim,num_layers,cheb_k,teacher_forcing_ratio,bounded_output_epsilon,d_model,lstm_hidden_dim,attention_heads,patch_len,encoder_layers,ff_hidden_dim,residual_channels,skip_channels,end_channels,gcn_depth,mtgnn_layers,subgraph_size,node_embed_dim,dilation_exponential,propalpha,dropout,weight_decay,amp_enabled,device,runtime_seconds,train_window_count,val_window_count,test_window_count,best_epoch,epochs_ran,best_val_rmse_pu,best_val_mae_pu,seed,batch_size,learning_rate
kelmarsh,WORLD_MODEL_BASELINE,world_model_persistence_last_value_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,overall,,,47139,10139796,2022-04-22 04:40:00,2023-03-15 18:50:00,238.96735702334618,371.6073582971599,0.11656944245041276,0.18127188209617556,latlon,6,54,40,7,6,7,persistence_last_value,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,false,analytic,3.593472,325905,47139,94458,0,0,0.18127188209617556,0.11656944245041276,3407,,
kelmarsh,WORLD_MODEL_BASELINE,world_model_persistence_last_value_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,1,10,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,90.99947940276674,152.33988715817966,0.044389989952568966,0.0743121400771607,latlon,6,54,40,7,6,7,persistence_last_value,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,false,analytic,3.593472,325905,47139,94458,0,0,0.18127188209617556,0.11656944245041276,3407,,
kelmarsh,WORLD_MODEL_BASELINE,world_model_persistence_last_value_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,2,20,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,123.0292216749828,201.73786993508418,0.06001425447560126,0.0984087170415041,latlon,6,54,40,7,6,7,persistence_last_value,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,false,analytic,3.593472,325905,47139,94458,0,0,0.18127188209617556,0.11656944245041276,3407,,
kelmarsh,WORLD_MODEL_BASELINE,world_model_persistence_last_value_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,3,30,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,141.71835466259705,229.42278944027262,0.06913090471346217,0.11191355582452327,latlon,6,54,40,7,6,7,persistence_last_value,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,false,analytic,3.593472,325905,47139,94458,0,0,0.18127188209617556,0.11656944245041276,3407,,
kelmarsh,WORLD_MODEL_BASELINE,world_model_persistence_last_value_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,4,40,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,155.05294078622705,248.71055971102317,0.07563558087133056,0.12132222424927978,latlon,6,54,40,7,6,7,persistence_last_value,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,false,analytic,3.593472,325905,47139,94458,0,0,0.18127188209617556,0.11656944245041276,3407,,
kelmarsh,WORLD_MODEL_BASELINE,world_model_persistence_last_value_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,5,50,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,165.80240921686882,264.46989464988445,0.08087922400822883,0.12900970470726048,latlon,6,54,40,7,6,7,persistence_last_value,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,false,analytic,3.593472,325905,47139,94458,0,0,0.18127188209617556,0.11656944245041276,3407,,
kelmarsh,WORLD_MODEL_BASELINE,world_model_persistence_last_value_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,6,60,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,175.0216301416734,277.84691418460307,0.08537640494715747,0.13553508009004975,latlon,6,54,40,7,6,7,persistence_last_value,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,false,analytic,3.593472,325905,47139,94458,0,0,0.18127188209617556,0.11656944245041276,3407,,
kelmarsh,WORLD_MODEL_BASELINE,world_model_persistence_last_value_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,7,70,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,183.31128498125648,289.5776457472834,0.08942013901524706,0.14125738816940683,latlon,6,54,40,7,6,7,persistence_last_value,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,false,analytic,3.593472,325905,47139,94458,0,0,0.18127188209617556,0.11656944245041276,3407,,
kelmarsh,WORLD_MODEL_BASELINE,world_model_persistence_last_value_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,8,80,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,191.13229014246636,300.3854072711466,0.09323526348412972,0.14652946696153513,latlon,6,54,40,7,6,7,persistence_last_value,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,false,analytic,3.593472,325905,47139,94458,0,0,0.18127188209617556,0.11656944245041276,3407,,
kelmarsh,WORLD_MODEL_BASELINE,world_model_persistence_last_value_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,9,90,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,198.40108046964176,310.2636283730791,0.09678101486323971,0.15134811140150206,latlon,6,54,40,7,6,7,persistence_last_value,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,false,analytic,3.593472,325905,47139,94458,0,0,0.18127188209617556,0.11656944245041276,3407,,
