dataset_id,model_id,model_variant,selection_metric,feature_protocol_id,task_id,window_protocol,baseline_type,hidden_dim,embed_dim,num_layers,cheb_k,teacher_forcing_ratio,patch_len,encoder_layers,ff_hidden_dim,residual_channels,skip_channels,end_channels,gcn_depth,mtgnn_layers,subgraph_size,node_embed_dim,dilation_exponential,propalpha,epoch,train_loss_mean,train_loss_last,val_mae_pu,val_rmse_pu,best_val_mae_pu,best_val_rmse_pu,is_best_epoch,epochs_without_improvement,train_batch_count,train_window_count,val_window_count,device,seed,batch_size,learning_rate,amp_enabled,implementation_track,source_repo,source_commit,adapter_kind,search_config_id
kelmarsh,WORLD_MODEL_HARDENED_BASELINE,world_model_timexer_official_v1_farm_sync,val_rmse_pu,world_model_v1,next_6h_from_24h,dense_sliding,timexer_official,,,,,,24,2,256,,,,,,,,,,11,0.04664913283520726,0.041277725249528885,0.1429474070854426,0.1971505224148294,0.14302694892899553,0.19709108734712427,false,4,3820,325905,47139,cuda,3407,512,0.0001,true,hardened_official,https://github.com/thuml/TimeXer.git,76011909357972bd55a27adba2e1be994d81b327,official_source_adapter,phase1_default
kelmarsh,WORLD_MODEL_HARDENED_BASELINE,world_model_timexer_official_v1_farm_sync,val_rmse_pu,world_model_v1,next_6h_from_24h,dense_sliding,timexer_official,,,,,,24,2,256,,,,,,,,,,12,0.04662491827289515,0.04161396622657776,0.14314258993472057,0.19734984858047275,0.14302694892899553,0.19709108734712427,false,5,3820,325905,47139,cuda,3407,512,0.0001,true,hardened_official,https://github.com/thuml/TimeXer.git,76011909357972bd55a27adba2e1be994d81b327,official_source_adapter,phase1_default
kelmarsh,WORLD_MODEL_HARDENED_BASELINE,world_model_timexer_official_v1_farm_sync,val_rmse_pu,world_model_v1,next_6h_from_24h,dense_sliding,timexer_official,,,,,,24,2,256,,,,,,,,,,13,0.04658338608882899,0.048361483961343765,0.14296875845479617,0.19724991394234542,0.14302694892899553,0.19709108734712427,false,6,3820,325905,47139,cuda,3407,512,0.0001,true,hardened_official,https://github.com/thuml/TimeXer.git,76011909357972bd55a27adba2e1be994d81b327,official_source_adapter,phase1_default
kelmarsh,WORLD_MODEL_HARDENED_BASELINE,world_model_timexer_official_v1_farm_sync,val_rmse_pu,world_model_v1,next_6h_from_24h,dense_sliding,timexer_official,,,,,,24,2,256,,,,,,,,,,14,0.04654694946067628,0.05595799908041954,0.14302977151574056,0.19739199983633215,0.14302694892899553,0.19709108734712427,false,7,3820,325905,47139,cuda,3407,512,0.0001,true,hardened_official,https://github.com/thuml/TimeXer.git,76011909357972bd55a27adba2e1be994d81b327,official_source_adapter,phase1_default
kelmarsh,WORLD_MODEL_HARDENED_BASELINE,world_model_timexer_official_v1_farm_sync,val_rmse_pu,world_model_v1,next_6h_from_24h,dense_sliding,timexer_official,,,,,,24,2,256,,,,,,,,,,15,0.0465183606726499,0.0559447780251503,0.14320108554435634,0.19735297329555682,0.14302694892899553,0.19709108734712427,false,8,3820,325905,47139,cuda,3407,512,0.0001,true,hardened_official,https://github.com/thuml/TimeXer.git,76011909357972bd55a27adba2e1be994d81b327,official_source_adapter,phase1_default
kelmarsh,WORLD_MODEL_HARDENED_BASELINE,world_model_timexer_official_v1_farm_sync,val_rmse_pu,world_model_v1,next_6h_from_24h,dense_sliding,timexer_official,,,,,,24,2,256,,,,,,,,,,16,0.04648380650483478,0.04113515093922615,0.1432287409139131,0.19739162176890984,0.14302694892899553,0.19709108734712427,false,9,3820,325905,47139,cuda,3407,512,0.0001,true,hardened_official,https://github.com/thuml/TimeXer.git,76011909357972bd55a27adba2e1be994d81b327,official_source_adapter,phase1_default
kelmarsh,WORLD_MODEL_HARDENED_BASELINE,world_model_timexer_official_v1_farm_sync,val_rmse_pu,world_model_v1,next_6h_from_24h,dense_sliding,timexer_official,,,,,,24,2,256,,,,,,,,,,17,0.04646220493856891,0.04885132983326912,0.14319222900390166,0.19734087368055667,0.14302694892899553,0.19709108734712427,false,10,3820,325905,47139,cuda,3407,512,0.0001,true,hardened_official,https://github.com/thuml/TimeXer.git,76011909357972bd55a27adba2e1be994d81b327,official_source_adapter,phase1_default
kelmarsh,WORLD_MODEL_HARDENED_BASELINE,world_model_timexer_official_v1_farm_sync,val_mae_pu,world_model_v1,next_6h_from_24h,dense_sliding,timexer_official,,,,,,24,2,256,,,,,,,,,,1,0.04814302568227879,0.05385589972138405,0.14357279616746269,0.1975749952926931,0.14357279616746269,0.1975749952926931,true,0,3820,325905,47139,cuda,3407,512,0.0001,true,hardened_official,https://github.com/thuml/TimeXer.git,76011909357972bd55a27adba2e1be994d81b327,official_source_adapter,phase1_default
kelmarsh,WORLD_MODEL_HARDENED_BASELINE,world_model_timexer_official_v1_farm_sync,val_mae_pu,world_model_v1,next_6h_from_24h,dense_sliding,timexer_official,,,,,,24,2,256,,,,,,,,,,2,0.04722100887213364,0.049719832837581635,0.14338094687563155,0.19742063423467895,0.14338094687563155,0.19742063423467895,true,0,3820,325905,47139,cuda,3407,512,0.0001,true,hardened_official,https://github.com/thuml/TimeXer.git,76011909357972bd55a27adba2e1be994d81b327,official_source_adapter,phase1_default
kelmarsh,WORLD_MODEL_HARDENED_BASELINE,world_model_timexer_official_v1_farm_sync,val_mae_pu,world_model_v1,next_6h_from_24h,dense_sliding,timexer_official,,,,,,24,2,256,,,,,,,,,,3,0.04707776820486334,0.04709396883845329,0.1432542023624889,0.19725514536052796,0.1432542023624889,0.19725514536052796,true,0,3820,325905,47139,cuda,3407,512,0.0001,true,hardened_official,https://github.com/thuml/TimeXer.git,76011909357972bd55a27adba2e1be994d81b327,official_source_adapter,phase1_default
