dataset_id,model_id,model_variant,selection_metric,feature_protocol_id,task_id,window_protocol,baseline_type,hidden_dim,embed_dim,num_layers,cheb_k,teacher_forcing_ratio,patch_len,encoder_layers,ff_hidden_dim,residual_channels,skip_channels,end_channels,gcn_depth,mtgnn_layers,subgraph_size,node_embed_dim,dilation_exponential,propalpha,epoch,train_loss_mean,train_loss_last,val_mae_pu,val_rmse_pu,best_val_mae_pu,best_val_rmse_pu,is_best_epoch,epochs_without_improvement,train_batch_count,train_window_count,val_window_count,device,seed,batch_size,learning_rate,amp_enabled,implementation_track,source_repo,source_commit,adapter_kind,search_config_id
kelmarsh,WORLD_MODEL_HARDENED_BASELINE,world_model_last_value_persistence_hardened_v1_farm_sync,val_rmse_pu,world_model_v1,next_6h_from_24h,dense_sliding,last_value_persistence_hardened,,,,,,,,,,,,,,,,,,0,,,0.11656944245041276,0.18127188209617556,0.11656944245041276,0.18127188209617556,true,0,0,325905,47139,analytic,3407,,,false,hardened_official,analytic://last-value-persistence,not-applicable,analytic_anchor,analytic_default
kelmarsh,WORLD_MODEL_HARDENED_BASELINE,world_model_last_value_persistence_hardened_v1_farm_sync,val_mae_pu,world_model_v1,next_6h_from_24h,dense_sliding,last_value_persistence_hardened,,,,,,,,,,,,,,,,,,0,,,0.11656944245041276,0.18127188209617556,0.11656944245041276,0.18127188209617556,true,0,0,325905,47139,analytic,3407,,,false,hardened_official,analytic://last-value-persistence,not-applicable,analytic_anchor,analytic_default
