dataset_id,model_id,task_id,history_steps,forecast_steps,stride_steps,target_policy,window_count,prediction_count,start_timestamp,end_timestamp,mae_kw,rmse_kw,mae_pu,rmse_pu,device,runtime_seconds
hill_of_towie_multivariate_knn6,amazon/chronos-2,next_6h_from_24h_stride_6h,144,36,36,invalid_to_nan_clip_0_rated,263388,9450492,2016-01-02 00:00:00,2024-08-31 23:50:00,296.92679159700697,483.6509722045927,0.1290986050421769,0.21028303139330112,mps,1540.443616
hill_of_towie_univariate,amazon/chronos-2,next_6h_from_24h_stride_6h,144,36,36,invalid_to_nan_clip_0_rated,263314,9449132,2016-01-02 00:00:00,2024-08-31 23:50:00,300.7536583854166,490.304546752585,0.13076246016757184,0.2131758898924282,mps,797.090797
kelmarsh_multivariate_knn6,amazon/chronos-2,next_6h_from_24h_stride_6h,144,36,36,invalid_to_nan_clip_0_rated,77667,2783994,2016-01-21 18:00:00,2024-12-31 23:50:00,247.1482382582885,381.7469818584675,0.12056011622355536,0.18621803993095978,mps,390.633571
kelmarsh_univariate,amazon/chronos-2,next_6h_from_24h_stride_6h,144,36,36,invalid_to_nan_clip_0_rated,77647,2783551,2016-01-21 18:00:00,2024-12-31 23:50:00,252.13553441026139,390.41233990253914,0.12299294361476208,0.19044504385489702,mps,70.565225
penmanshiel_multivariate_knn6,amazon/chronos-2,next_6h_from_24h_stride_6h,144,36,36,invalid_to_nan_clip_0_rated,156997,5632407,2016-06-03 17:40:00,2024-12-31 20:30:00,287.1005951475683,455.4542509988049,0.14004907080369156,0.2221728053652706,mps,763.070215
penmanshiel_univariate,amazon/chronos-2,next_6h_from_24h_stride_6h,144,36,36,invalid_to_nan_clip_0_rated,156884,5630169,2016-06-03 17:40:00,2024-12-31 22:10:00,292.2333710095972,464.8781147053385,0.14255286390712021,0.22676981205138427,mps,145.795034
sdwpf_kddcup_multivariate_knn6,amazon/chronos-2,next_6h_from_24h_stride_6h,144,36,36,invalid_to_nan_clip_0_rated,123255,3575207,2020-05-02 00:00:00,2020-12-31 23:50:00,247.28882909256524,362.4704932249916,0.16485921939504353,0.24164699548332763,mps,722.328919
sdwpf_kddcup_univariate,amazon/chronos-2,next_6h_from_24h_stride_6h,144,36,36,invalid_to_nan_clip_0_rated,123011,3571687,2020-05-02 00:00:00,2020-12-31 23:50:00,250.1727581811045,366.08148243651266,0.1667818387874031,0.24405432162434174,mps,150.806676
