dataset_id,model_id,model_variant,task_id,history_steps,forecast_steps,stride_steps,split_protocol,covariate_stage,covariate_pack,feature_set,covariate_count,covariate_policy,window_count,prediction_count,start_timestamp,end_timestamp,mae_kw,rmse_kw,mae_pu,rmse_pu,device,runtime_seconds,train_window_count,val_window_count,test_window_count,best_epoch,epochs_ran,best_val_rmse_pu,seed,batch_size,learning_rate
penmanshiel,LTSF-Linear,dlinear,next_6h_from_24h_stride_6h,144,36,36,chrono_70_10_20,stage2_ops,stage2_ops,lightweight,21,past_only_train_zscore_fill0_mask,28436,1023696,2022-11-02 12:00:00,2024-12-31 22:10:00,306.6622786452228,450.071889698816,0.1495913559825439,0.21954726143220524,mps,8.579684,106408,15309,28436,2,7,0.21219936880705245,42,1024,0.001
penmanshiel,LTSF-Linear,nlinear,next_6h_from_24h_stride_6h,144,36,36,chrono_70_10_20,stage3_regime,stage3_regime,lightweight,33,past_only_train_zscore_fill0_mask,28436,1023696,2022-11-02 12:00:00,2024-12-31 22:10:00,403.9586850002344,532.3187583280824,0.19705301648695023,0.2596676865991326,mps,9.897639,106408,15309,28436,2,7,0.2149841801941367,42,1024,0.001
penmanshiel,LTSF-Linear,dlinear,next_6h_from_24h_stride_6h,144,36,36,chrono_70_10_20,stage3_regime,stage3_regime,lightweight,33,past_only_train_zscore_fill0_mask,28436,1023696,2022-11-02 12:00:00,2024-12-31 22:10:00,421.3315544849252,543.7971795634943,0.20552759019538638,0.26526691615167525,mps,10.244858,106408,15309,28436,2,7,0.21925462938485155,42,1024,0.001
hill_of_towie,LTSF-Linear,nlinear,next_6h_from_24h_stride_6h,144,36,36,chrono_70_10_20,reference,power_only,default,0,none,51008,1836288,2022-12-10 06:00:00,2024-08-31 23:50:00,284.21095628790255,444.5710084674613,0.12356998164933312,0.19329174341443633,mps,6.251683,178140,24011,51008,1,6,0.20099607065449282,42,1024,0.001
hill_of_towie,LTSF-Linear,dlinear,next_6h_from_24h_stride_6h,144,36,36,chrono_70_10_20,reference,power_only,default,0,none,51008,1836288,2022-12-10 06:00:00,2024-08-31 23:50:00,290.6452008072808,436.2434845423598,0.12636747829554787,0.1896710800380042,mps,9.193101,178140,24011,51008,3,8,0.19784430282917206,42,1024,0.001
hill_of_towie,LTSF-Linear,nlinear,next_6h_from_24h_stride_6h,144,36,36,chrono_70_10_20,stage1_core,stage1_core,default,11,past_only_train_zscore_fill0_mask,51008,1836288,2022-12-10 06:00:00,2024-08-31 23:50:00,327.7016666231005,671.3901566947657,0.14247898395367617,0.2919087638544489,mps,10.523445,178140,24011,51008,1,6,0.23176318575348287,42,1024,0.001
hill_of_towie,LTSF-Linear,dlinear,next_6h_from_24h_stride_6h,144,36,36,chrono_70_10_20,stage1_core,stage1_core,default,11,past_only_train_zscore_fill0_mask,51008,1836288,2022-12-10 06:00:00,2024-08-31 23:50:00,360.438855996445,709.10235214997,0.15671254733309126,0.308305370257191,mps,10.241818,178140,24011,51008,1,6,0.24100318547935587,42,1024,0.001
hill_of_towie,LTSF-Linear,nlinear,next_6h_from_24h_stride_6h,144,36,36,chrono_70_10_20,stage2_ops,stage2_ops,default,19,past_only_train_zscore_fill0_mask,51008,1836288,2022-12-10 06:00:00,2024-08-31 23:50:00,316.4989190148822,471.67202137496315,0.1376082250035891,0.20507479187063624,mps,12.001939,178140,24011,51008,1,6,0.20458293724204765,42,1024,0.001
hill_of_towie,LTSF-Linear,dlinear,next_6h_from_24h_stride_6h,144,36,36,chrono_70_10_20,stage2_ops,stage2_ops,default,19,past_only_train_zscore_fill0_mask,51008,1836288,2022-12-10 06:00:00,2024-08-31 23:50:00,331.0564394038408,492.56470127642956,0.1439375830181935,0.2141585670350284,mps,11.166427,178140,24011,51008,1,6,0.21141226247979447,42,1024,0.001
hill_of_towie,LTSF-Linear,nlinear,next_6h_from_24h_stride_6h,144,36,36,chrono_70_10_20,stage3_regime,stage3_regime,default,30,past_only_train_zscore_fill0_mask,51008,1836288,2022-12-10 06:00:00,2024-08-31 23:50:00,2564.1808518053813,3589.0100808799666,1.1148612345343567,1.5604391667204662,mps,15.746369,178140,24011,51008,2,7,0.8379718378045495,42,1024,0.001
hill_of_towie,LTSF-Linear,dlinear,next_6h_from_24h_stride_6h,144,36,36,chrono_70_10_20,stage3_regime,stage3_regime,default,30,past_only_train_zscore_fill0_mask,51008,1836288,2022-12-10 06:00:00,2024-08-31 23:50:00,3003.486078436498,4172.720294158614,1.3058635137843302,1.8142262044097415,mps,15.81966,178140,24011,51008,2,7,0.9102919230307404,42,1024,0.001
sdwpf_kddcup,LTSF-Linear,nlinear,next_6h_from_24h_stride_6h,144,36,36,chrono_70_10_20,reference,power_only,default,0,none,2757,99252,2020-11-22 12:00:00,2020-12-30 23:50:00,223.29817031394833,310.69219460037334,0.14886544959815043,0.20712812845081985,mps,0.574309,3723,908,2757,2,7,0.24002000524614361,42,1024,0.001
sdwpf_kddcup,LTSF-Linear,dlinear,next_6h_from_24h_stride_6h,144,36,36,chrono_70_10_20,reference,power_only,default,0,none,2757,99252,2020-11-22 12:00:00,2020-12-30 23:50:00,249.23456454278,322.52659503628945,0.16615637507619493,0.21501773003277552,mps,1.613311,3723,908,2757,47,50,0.23007745903941965,42,1024,0.001
sdwpf_kddcup,LTSF-Linear,nlinear,next_6h_from_24h_stride_6h,144,36,36,chrono_70_10_20,stage1_core,stage1_core,default,5,past_only_train_zscore_fill0_mask,2757,99252,2020-11-22 12:00:00,2020-12-30 23:50:00,272.4991637448112,374.8872921881917,0.18166610858597307,0.24992486132585062,mps,0.887854,3723,908,2757,6,11,0.25125950515885775,42,1024,0.001
sdwpf_kddcup,LTSF-Linear,dlinear,next_6h_from_24h_stride_6h,144,36,36,chrono_70_10_20,stage1_core,stage1_core,default,5,past_only_train_zscore_fill0_mask,2757,99252,2020-11-22 12:00:00,2020-12-30 23:50:00,285.0573993471164,372.94888404231875,0.19003826355514247,0.24863259337199617,mps,1.370324,3723,908,2757,22,27,0.28961281781127235,42,1024,0.001
sdwpf_kddcup,LTSF-Linear,nlinear,next_6h_from_24h_stride_6h,144,36,36,chrono_70_10_20,stage2_ops,stage2_ops,default,9,past_only_train_zscore_fill0_mask,2757,99252,2020-11-22 12:00:00,2020-12-30 23:50:00,260.15354854310243,357.741749466918,0.17343569745445936,0.23849449601889067,mps,0.948264,3723,908,2757,9,14,0.23166267711158242,42,1024,0.001
sdwpf_kddcup,LTSF-Linear,dlinear,next_6h_from_24h_stride_6h,144,36,36,chrono_70_10_20,stage2_ops,stage2_ops,default,9,past_only_train_zscore_fill0_mask,2757,99252,2020-11-22 12:00:00,2020-12-30 23:50:00,282.1353272478136,373.17223323435417,0.1880902106742811,0.24878148306046505,mps,1.319613,3723,908,2757,19,24,0.2627630106673229,42,1024,0.001
sdwpf_kddcup,LTSF-Linear,nlinear,next_6h_from_24h_stride_6h,144,36,36,chrono_70_10_20,stage3_regime,stage3_regime,default,12,past_only_train_zscore_fill0_mask,2757,99252,2020-11-22 12:00:00,2020-12-30 23:50:00,260.15354854310243,357.741749466918,0.17343569745445936,0.23849449601889067,mps,0.916686,3723,908,2757,9,14,0.23166267711158242,42,1024,0.001
sdwpf_kddcup,LTSF-Linear,dlinear,next_6h_from_24h_stride_6h,144,36,36,chrono_70_10_20,stage3_regime,stage3_regime,default,12,past_only_train_zscore_fill0_mask,2757,99252,2020-11-22 12:00:00,2020-12-30 23:50:00,282.1353272478136,373.17223669025583,0.1880902106742811,0.24878148800417216,mps,1.288608,3723,908,2757,19,24,0.2627630106673229,42,1024,0.001
