protocol,bootstrap_status,blocked_reason,origin_count,row_count,baseline_error_column,proposed_error_column,bootstrap_repeats,bootstrap_seed,block_length,paired_bootstrap.delta_mean,paired_bootstrap.ci95_low,paired_bootstrap.ci95_high,paired_bootstrap.prob_delta_gt_zero,block_bootstrap.delta_mean,block_bootstrap.ci95_low,block_bootstrap.ci95_high,block_bootstrap.prob_delta_gt_zero,block_bootstrap_blocked_reason,created_at,comparison_csv,seed_rows_csv,completed_seed_count,expected_seed_count,main_table_status
rolling_origin_no_refit,completed,,472290,472290,baseline_abs_error_pu,proposed_abs_error_pu,5000,3407,24,-2.5287383262304397e-05,-0.00013959087132401666,8.845079558642604e-05,0.3312,-2.1150540817665593e-05,-0.0004546175989946899,0.00040814882708634933,0.4592,,2026-04-29T18:23:37.780551+00:00,/home/sam/datasets/experiment/artifacts/published/world_model_official_baselines_v2/20260425-paper-grade-dgcrn-rescue-rolling_origin_no_refit-origin-comparison.csv,/home/sam/datasets/experiment/artifacts/published/world_model_official_baselines_v2/20260425-paper-grade-dgcrn-rescue-seed-rows.csv,5,5,appendix_diagnostic
non_overlap,completed,,13120,13120,baseline_abs_error_pu,proposed_abs_error_pu,5000,3407,24,-0.00047164796756880183,-0.0011371963650069214,0.00019354594099101714,0.0838,-0.00047494155336664454,-0.0013693397971916224,0.00039827436120845193,0.1526,,2026-04-29T18:23:40.983905+00:00,/home/sam/datasets/experiment/artifacts/published/world_model_official_baselines_v2/20260425-paper-grade-dgcrn-rescue-non_overlap-origin-comparison.csv,/home/sam/datasets/experiment/artifacts/published/world_model_official_baselines_v2/20260425-paper-grade-dgcrn-rescue-seed-rows.csv,5,5,appendix_diagnostic
