dataset_id,model_id,model_variant,task_id,history_steps,forecast_steps,source_repo,source_commit,source_file,model_class,adapter_class,train_script,search_config_id,seed,selection_metric,feature_budget_id,output_parameterization,residual_input_mode,official_internal_norm,uses_target_history,uses_local_history,uses_global_history,uses_future_calendar,uses_static,uses_pairwise,uses_future_target,selected_by,no_test_feedback,test_evaluated_at,split_name,eval_protocol,metric_scope,lead_step,trial_id,trial_status,trial_blocker,alpha,formal_search_config_id,is_best_validation_trial,gate_a_passed,gate_b_passed,gate_b_scope,gate_b_overfit64_passed,train_gate_after_fit_passed,train_gate_after_fit_rmse_pu,train_gate_after_fit_mae_pu,gate_c_passed,residual_anchor_steps,runtime_seconds,window_count,prediction_count,mae_pu,rmse_pu,mae_kw,rmse_kw,lead1_mae_pu,lead1_rmse_pu,short_rmse_pu,mid_rmse_pu,long_rmse_pu,ae_p50,ae_p90,ae_p95
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,mtgnn_official_core_calendar_residual_b1_v2,next_6h_from_24h,144,36,https://github.com/nnzhan/MTGNN.git,f811746fa7022ebf336f9ecd2434af5f365ecbf6,/home/sam/datasets/experiment/official_baselines/mtgnn/source/net.py,gtnet,MTGNNOfficialCoreAdapter,experiment/official_baselines/mtgnn/source/train_multi_step.py,debug_matrix,17,val_overall_rmse,B1,residual,absolute,,True,False,False,True,False,False,False,validation_only,True,,test,rolling_origin_no_refit,overall,,mtgnn_official_core_calendar_residual_b1_v2_mtgnn_calendar_gcn2_sub3_node32_res32_skip64_end128_layers2_dropout0_lr0.003_anchor1,completed,,,mtgnn_calendar_gcn2_sub3_node32_res32_skip64_end128_layers2_dropout0_lr0.003_anchor1,True,True,True,overfit64_preflight,True,False,0.2440555714597566,0.179995657486831,True,1,519.0640982979967,94458,20300940,0.116692383093211,0.1684467659681622,239.2193853410827,345.3158702347325,0.0453800680674888,0.0754568734871374,0.1090639707566717,0.1545197698584957,0.1920053901320999,0.0764841958880424,0.2782707542181015,0.3684059835970402
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,mtgnn_official_core_calendar_residual_b1_v2,next_6h_from_24h,144,36,https://github.com/nnzhan/MTGNN.git,f811746fa7022ebf336f9ecd2434af5f365ecbf6,/home/sam/datasets/experiment/official_baselines/mtgnn/source/net.py,gtnet,MTGNNOfficialCoreAdapter,experiment/official_baselines/mtgnn/source/train_multi_step.py,debug_matrix,17,val_overall_rmse,B1,residual,absolute,,True,False,False,True,False,False,False,validation_only,True,,test,non_overlap,overall,,mtgnn_official_core_calendar_residual_b1_v2_mtgnn_calendar_gcn2_sub3_node32_res32_skip64_end128_layers2_dropout0_lr0.003_anchor1,completed,,,mtgnn_calendar_gcn2_sub3_node32_res32_skip64_end128_layers2_dropout0_lr0.003_anchor1,True,True,True,overfit64_preflight,True,False,0.2440555714597566,0.179995657486831,True,1,519.0640982979967,2624,563951,0.1157051085571363,0.1675907818555011,237.1954725421295,343.5611028037773,0.0457786820749731,0.0759869372274263,0.108771550687301,0.1541652452602439,0.1907640103067777,0.0749351643025875,0.2781417369842529,0.3682102337479591
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,mtgnn_official_core_calendar_residual_b1_v2,next_6h_from_24h,144,36,https://github.com/nnzhan/MTGNN.git,f811746fa7022ebf336f9ecd2434af5f365ecbf6,/home/sam/datasets/experiment/official_baselines/mtgnn/source/net.py,gtnet,MTGNNOfficialCoreAdapter,experiment/official_baselines/mtgnn/source/train_multi_step.py,debug_matrix,2026,val_overall_rmse,B1,residual,absolute,,True,False,False,True,False,False,False,validation_only,True,,test,rolling_origin_no_refit,overall,,mtgnn_official_core_calendar_residual_b1_v2_mtgnn_calendar_gcn2_sub3_node32_res32_skip64_end128_layers2_dropout0_lr0.003_anchor1,completed,,,mtgnn_calendar_gcn2_sub3_node32_res32_skip64_end128_layers2_dropout0_lr0.003_anchor1,True,True,True,overfit64_preflight,True,False,0.2166963327350912,0.1438847556407035,True,1,520.0540406460059,94458,20300940,0.1198234763702359,0.1865649418114698,245.6381265589838,382.4581307135132,0.0453800680674888,0.0754568734871374,0.1144990554744391,0.1672680391382691,0.2158484325785426,0.0682434365153312,0.3089242681860925,0.4222464665770532
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,mtgnn_official_core_calendar_residual_b1_v2,next_6h_from_24h,144,36,https://github.com/nnzhan/MTGNN.git,f811746fa7022ebf336f9ecd2434af5f365ecbf6,/home/sam/datasets/experiment/official_baselines/mtgnn/source/net.py,gtnet,MTGNNOfficialCoreAdapter,experiment/official_baselines/mtgnn/source/train_multi_step.py,debug_matrix,2026,val_overall_rmse,B1,residual,absolute,,True,False,False,True,False,False,False,validation_only,True,,test,non_overlap,overall,,mtgnn_official_core_calendar_residual_b1_v2_mtgnn_calendar_gcn2_sub3_node32_res32_skip64_end128_layers2_dropout0_lr0.003_anchor1,completed,,,mtgnn_calendar_gcn2_sub3_node32_res32_skip64_end128_layers2_dropout0_lr0.003_anchor1,True,True,True,overfit64_preflight,True,False,0.2166963327350912,0.1438847556407035,True,1,520.0540406460059,2624,563951,0.1182262382002502,0.1842912357074501,242.363788310513,377.7970332002728,0.0457786820749731,0.0759869372274263,0.113681606721381,0.1646157335889806,0.2134500258819336,0.0667155683040618,0.3059647381305694,0.4174593091011047
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,mtgnn_official_core_calendar_residual_b1_v2,next_6h_from_24h,144,36,https://github.com/nnzhan/MTGNN.git,f811746fa7022ebf336f9ecd2434af5f365ecbf6,/home/sam/datasets/experiment/official_baselines/mtgnn/source/net.py,gtnet,MTGNNOfficialCoreAdapter,experiment/official_baselines/mtgnn/source/train_multi_step.py,debug_matrix,3407,val_overall_rmse,B1,residual,absolute,,True,False,False,True,False,False,False,validation_only,True,,test,rolling_origin_no_refit,overall,,mtgnn_official_core_calendar_residual_b1_v2_mtgnn_calendar_gcn2_sub3_node32_res32_skip64_end128_layers2_dropout0_lr0.003_anchor1,completed,,,mtgnn_calendar_gcn2_sub3_node32_res32_skip64_end128_layers2_dropout0_lr0.003_anchor1,True,True,True,overfit64_preflight,True,False,0.2140026723270993,0.140867621670427,True,1,516.6083324589999,94458,20300940,0.1197533453218869,0.186526092482494,245.49435790986828,382.37848958911286,0.0453800680674888,0.0754568734871374,0.1144799761580345,0.1672183836498135,0.2158103013131908,0.0682309754192829,0.3089399546384814,0.4222496494650841
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,mtgnn_official_core_calendar_residual_b1_v2,next_6h_from_24h,144,36,https://github.com/nnzhan/MTGNN.git,f811746fa7022ebf336f9ecd2434af5f365ecbf6,/home/sam/datasets/experiment/official_baselines/mtgnn/source/net.py,gtnet,MTGNNOfficialCoreAdapter,experiment/official_baselines/mtgnn/source/train_multi_step.py,debug_matrix,3407,val_overall_rmse,B1,residual,absolute,,True,False,False,True,False,False,False,validation_only,True,,test,non_overlap,overall,,mtgnn_official_core_calendar_residual_b1_v2_mtgnn_calendar_gcn2_sub3_node32_res32_skip64_end128_layers2_dropout0_lr0.003_anchor1,completed,,,mtgnn_calendar_gcn2_sub3_node32_res32_skip64_end128_layers2_dropout0_lr0.003_anchor1,True,True,True,overfit64_preflight,True,False,0.2140026723270993,0.140867621670427,True,1,516.6083324589999,2624,563951,0.1180504824864836,0.1841604282876302,242.00348909729152,377.528877989642,0.0457786820749731,0.0759869372274263,0.1135522560609018,0.164376528596239,0.213370052679821,0.0666820406913757,0.3057559430599212,0.4169784188270569
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,mtgnn_official_core_calendar_residual_b1_v2,next_6h_from_24h,144,36,https://github.com/nnzhan/MTGNN.git,f811746fa7022ebf336f9ecd2434af5f365ecbf6,/home/sam/datasets/experiment/official_baselines/mtgnn/source/net.py,gtnet,MTGNNOfficialCoreAdapter,experiment/official_baselines/mtgnn/source/train_multi_step.py,debug_matrix,42,val_overall_rmse,B1,residual,absolute,,True,False,False,True,False,False,False,validation_only,True,,test,rolling_origin_no_refit,overall,,mtgnn_official_core_calendar_residual_b1_v2_mtgnn_calendar_gcn2_sub3_node32_res32_skip64_end128_layers2_dropout0_lr0.003_anchor1,completed,,,mtgnn_calendar_gcn2_sub3_node32_res32_skip64_end128_layers2_dropout0_lr0.003_anchor1,True,True,True,overfit64_preflight,True,False,0.2107866427273727,0.1396916934158018,True,1,519.8729936009913,94458,20300940,0.1200454597417207,0.1866400748506334,246.09319247052755,382.6121534437985,0.0453800680674888,0.0754568734871374,0.1145076528069609,0.1674126450258286,0.2159020729104231,0.0683226338587701,0.3090630024671557,0.4224086120724678
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,mtgnn_official_core_calendar_residual_b1_v2,next_6h_from_24h,144,36,https://github.com/nnzhan/MTGNN.git,f811746fa7022ebf336f9ecd2434af5f365ecbf6,/home/sam/datasets/experiment/official_baselines/mtgnn/source/net.py,gtnet,MTGNNOfficialCoreAdapter,experiment/official_baselines/mtgnn/source/train_multi_step.py,debug_matrix,42,val_overall_rmse,B1,residual,absolute,,True,False,False,True,False,False,False,validation_only,True,,test,non_overlap,overall,,mtgnn_official_core_calendar_residual_b1_v2_mtgnn_calendar_gcn2_sub3_node32_res32_skip64_end128_layers2_dropout0_lr0.003_anchor1,completed,,,mtgnn_calendar_gcn2_sub3_node32_res32_skip64_end128_layers2_dropout0_lr0.003_anchor1,True,True,True,overfit64_preflight,True,False,0.2107866427273727,0.1396916934158018,True,1,519.8729936009913,2624,563951,0.1184902866190545,0.1844383431605022,242.9050875690618,378.0986034790296,0.0457786820749731,0.0759869372274263,0.113670730193976,0.1649296747110361,0.2135445310142282,0.0669367164373397,0.306658536195755,0.417502298951149
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,mtgnn_official_core_calendar_residual_b1_v2,next_6h_from_24h,144,36,https://github.com/nnzhan/MTGNN.git,f811746fa7022ebf336f9ecd2434af5f365ecbf6,/home/sam/datasets/experiment/official_baselines/mtgnn/source/net.py,gtnet,MTGNNOfficialCoreAdapter,experiment/official_baselines/mtgnn/source/train_multi_step.py,debug_matrix,926,val_overall_rmse,B1,residual,absolute,,True,False,False,True,False,False,False,validation_only,True,,test,rolling_origin_no_refit,overall,,mtgnn_official_core_calendar_residual_b1_v2_mtgnn_calendar_gcn2_sub3_node32_res32_skip64_end128_layers2_dropout0_lr0.003_anchor1,completed,,,mtgnn_calendar_gcn2_sub3_node32_res32_skip64_end128_layers2_dropout0_lr0.003_anchor1,True,True,True,overfit64_preflight,True,False,0.2112922466082308,0.139705081005623,True,1,516.2661779199843,94458,20300940,0.1197639314723242,0.1865334023604232,245.51605951826463,382.3934748388676,0.0453800680674888,0.0754568734871374,0.1145004141372488,0.1672320807477094,0.2158122476265844,0.068247802555561,0.3089627742767336,0.4222733772359788
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,mtgnn_official_core_calendar_residual_b1_v2,next_6h_from_24h,144,36,https://github.com/nnzhan/MTGNN.git,f811746fa7022ebf336f9ecd2434af5f365ecbf6,/home/sam/datasets/experiment/official_baselines/mtgnn/source/net.py,gtnet,MTGNNOfficialCoreAdapter,experiment/official_baselines/mtgnn/source/train_multi_step.py,debug_matrix,926,val_overall_rmse,B1,residual,absolute,,True,False,False,True,False,False,False,validation_only,True,,test,non_overlap,overall,,mtgnn_official_core_calendar_residual_b1_v2_mtgnn_calendar_gcn2_sub3_node32_res32_skip64_end128_layers2_dropout0_lr0.003_anchor1,completed,,,mtgnn_calendar_gcn2_sub3_node32_res32_skip64_end128_layers2_dropout0_lr0.003_anchor1,True,True,True,overfit64_preflight,True,False,0.2112922466082308,0.139705081005623,True,1,516.2661779199843,2624,563951,0.1179770962762585,0.1841262464147483,241.85304736633,377.458805150234,0.0457786820749731,0.0759869372274263,0.1136107360495484,0.1642650343368454,0.2133579030395592,0.0665613040328025,0.3056655824184418,0.416930828243494
