trial_name,timexer_d_model,timexer_n_heads,timexer_e_layers,timexer_dropout,timexer_patch_len,learning_rate,model_variant,split_name,eval_protocol,rmse_pu,mae_pu,lead1_rmse_pu,lead1_mae_pu,short_rmse_pu,mid_rmse_pu,long_rmse_pu,gate_b_passed,gate_b_scope,train_gate_after_fit_rmse_pu,train_gate_after_fit_mae_pu,gate_c_passed,residual_anchor_steps,runtime_seconds
trial01_d64_p16_lr0p0001_e2_do0p1,64,4,2,0.1,16,0.0001,timexer_official_target_only_residual_b0_v2,val,rolling_origin_no_refit,0.2392140430326601,0.1627338934866002,0.0813426906110499,0.0495504977711256,0.1874601516128054,0.2277141044377163,0.2610819891284153,False,train_gate_after_fit,0.2875426377737287,0.1909051439175471,True,1,3.461518455063924
trial01_d64_p16_lr0p0001_e2_do0p1,64,4,2,0.1,16,0.0001,timexer_official_target_only_residual_b0_v2,val,non_overlap,0.2321506877256356,0.1576067571254591,0.0834699680931876,0.047634492755731,0.18258846230651,0.237041531289277,0.2433431933090432,False,train_gate_after_fit,0.2875426377737287,0.1909051439175471,True,1,3.461518455063924
trial02_d64_p16_lr0p0003_e2_do0p1,64,4,2,0.1,16,0.0003,timexer_official_target_only_residual_b0_v2,val,rolling_origin_no_refit,0.2428620869192108,0.1665560053274943,0.0813426906110499,0.0495504977711256,0.1954254386257432,0.2351898753308035,0.2614525467449264,False,train_gate_after_fit,0.2837669043052756,0.1922138599981248,True,1,3.464105755090713
trial02_d64_p16_lr0p0003_e2_do0p1,64,4,2,0.1,16,0.0003,timexer_official_target_only_residual_b0_v2,val,non_overlap,0.2330202488885762,0.1572892500006752,0.0834699680931876,0.047634492755731,0.1887109565030476,0.2413831522829654,0.2405875729931108,False,train_gate_after_fit,0.2837669043052756,0.1922138599981248,True,1,3.464105755090713
trial03_d64_p16_lr0p001_e2_do0p1,64,4,2,0.1,16,0.001,timexer_official_target_only_residual_b0_v2,val,rolling_origin_no_refit,0.2559518089716187,0.1727424276361412,0.0813426906110499,0.0495504977711256,0.2018459181353657,0.2480348634251223,0.2764559093710466,False,train_gate_after_fit,0.2840351950410189,0.1918839043318689,True,1,3.78187478100881
trial03_d64_p16_lr0p001_e2_do0p1,64,4,2,0.1,16,0.001,timexer_official_target_only_residual_b0_v2,val,non_overlap,0.2459354774457836,0.1622566419770285,0.0834699680931876,0.047634492755731,0.1941194972902331,0.2558190149378708,0.2545168222096757,False,train_gate_after_fit,0.2840351950410189,0.1918839043318689,True,1,3.78187478100881
trial04_d128_p16_lr0p0001_e2_do0p1,128,4,2,0.1,16,0.0001,timexer_official_target_only_residual_b0_v2,val,rolling_origin_no_refit,0.234167965520903,0.1624977415153984,0.0813426906110499,0.0495504977711256,0.1847637297247126,0.2217363075170556,0.2559532512607266,False,train_gate_after_fit,0.2870477368701444,0.1910529166609972,True,1,3.782121187075973
trial04_d128_p16_lr0p0001_e2_do0p1,128,4,2,0.1,16,0.0001,timexer_official_target_only_residual_b0_v2,val,non_overlap,0.2282031157038744,0.1578263652424276,0.0834699680931876,0.047634492755731,0.1812180642539242,0.2306254464743048,0.2403079913824834,False,train_gate_after_fit,0.2870477368701444,0.1910529166609972,True,1,3.782121187075973
trial05_d128_p16_lr0p0003_e2_do0p1,128,4,2,0.1,16,0.0003,timexer_official_target_only_residual_b0_v2,val,rolling_origin_no_refit,0.2472401995400239,0.1732254451620304,0.0813426906110499,0.0495504977711256,0.1995183505261493,0.2392154080221174,0.2661520258201401,False,train_gate_after_fit,0.2809005234902738,0.1932137351940144,True,1,4.087662847014144
trial05_d128_p16_lr0p0003_e2_do0p1,128,4,2,0.1,16,0.0003,timexer_official_target_only_residual_b0_v2,val,non_overlap,0.2325868445729491,0.1629107088574836,0.0834699680931876,0.047634492755731,0.1889742256518244,0.2401032034460196,0.2405337724309687,False,train_gate_after_fit,0.2809005234902738,0.1932137351940144,True,1,4.087662847014144
trial06_d128_p16_lr0p001_e2_do0p1,128,4,2,0.1,16,0.001,timexer_official_target_only_residual_b0_v2,val,rolling_origin_no_refit,0.2453400758012536,0.1680498644816802,0.0813426906110499,0.0495504977711256,0.2014360037230508,0.2428559341409192,0.2598820525252173,False,train_gate_after_fit,0.2813878314800982,0.1926863686299272,True,1,4.02835749508813
trial06_d128_p16_lr0p001_e2_do0p1,128,4,2,0.1,16,0.001,timexer_official_target_only_residual_b0_v2,val,non_overlap,0.2362026792484738,0.1616884411572154,0.0834699680931876,0.047634492755731,0.1942136491141662,0.2521305826167127,0.2379717288681002,False,train_gate_after_fit,0.2813878314800982,0.1926863686299272,True,1,4.02835749508813
trial07_d64_p12_lr0p0003_e2_do0p1,64,4,2,0.1,12,0.0003,timexer_official_target_only_residual_b0_v2,val,rolling_origin_no_refit,0.2429995144999179,0.1656775660940573,0.0813426906110499,0.0495504977711256,0.1906258789749617,0.2344939008189635,0.2632993097253963,False,train_gate_after_fit,0.2854645559273895,0.1915547264635,True,1,3.888372533023357
trial07_d64_p12_lr0p0003_e2_do0p1,64,4,2,0.1,12,0.0003,timexer_official_target_only_residual_b0_v2,val,non_overlap,0.2350489799600003,0.159274105021016,0.0834699680931876,0.047634492755731,0.1837347402899427,0.2426418575591994,0.2449350533049182,False,train_gate_after_fit,0.2854645559273895,0.1915547264635,True,1,3.888372533023357
trial08_d128_p12_lr0p0003_e2_do0p1,128,4,2,0.1,12,0.0003,timexer_official_target_only_residual_b0_v2,val,rolling_origin_no_refit,0.256632735023649,0.173882836788603,0.0813426906110499,0.0495504977711256,0.2067914547929784,0.2488153764257645,0.2760321691682114,False,train_gate_after_fit,0.279753097991209,0.1937292159334428,True,1,3.902007576078177
trial08_d128_p12_lr0p0003_e2_do0p1,128,4,2,0.1,12,0.0003,timexer_official_target_only_residual_b0_v2,val,non_overlap,0.2481779874952129,0.1669613704740089,0.0834699680931876,0.047634492755731,0.2010946326623837,0.2537582373871789,0.258410747643959,False,train_gate_after_fit,0.279753097991209,0.1937292159334428,True,1,3.902007576078177
