trial_file,config,eval_protocol,rmse_pu,mae_pu,lead1_rmse_pu,lead1_mae_pu,short_rmse_pu,mid_rmse_pu,long_rmse_pu,gate_b_passed,gate_b_scope,train_rmse,gate_c_passed,runtime_seconds
trial01_d64_p6_lr0p0001_e2_do0p1.csv,timexer_full_exog_d64_h4_e2_dropout0.1_patch6_lr0.0001_anchor1,rolling_origin_no_refit,0.2324985022476305,0.1635392348037318,0.0813426906110499,0.0495504977711256,0.1812134529495964,0.2205646336446108,0.254425817954121,False,train_gate_after_fit,0.2866917374015862,True,73.7163723690901
trial01_d64_p6_lr0p0001_e2_do0p1.csv,timexer_full_exog_d64_h4_e2_dropout0.1_patch6_lr0.0001_anchor1,non_overlap,0.2273797726635756,0.159418956623461,0.0834699680931876,0.047634492755731,0.178815780142812,0.228852520795,0.2404768390252318,False,train_gate_after_fit,0.2866917374015862,True,73.7163723690901
trial02_d64_p6_lr0p0003_e2_do0p1.csv,timexer_full_exog_d64_h4_e2_dropout0.1_patch6_lr0.0003_anchor1,rolling_origin_no_refit,0.2264563470272555,0.1532264276860506,0.0813426906110499,0.0495504977711256,0.1821056770405966,0.2204867678577133,0.2431073531333269,False,train_gate_after_fit,0.2818594070090427,True,73.74871517694555
trial02_d64_p6_lr0p0003_e2_do0p1.csv,timexer_full_exog_d64_h4_e2_dropout0.1_patch6_lr0.0003_anchor1,non_overlap,0.2163443190994917,0.1471050918685564,0.0834699680931876,0.047634492755731,0.1790653221825565,0.2241941048624524,0.2222902033538147,False,train_gate_after_fit,0.2818594070090427,True,73.74871517694555
trial03_d64_p6_lr0p001_e2_do0p1.csv,timexer_full_exog_d64_h4_e2_dropout0.1_patch6_lr0.001_anchor1,rolling_origin_no_refit,0.2332901286493105,0.159606197793737,0.0813426906110499,0.0495504977711256,0.1926463080375001,0.2284022037342845,0.248393485830739,False,train_gate_after_fit,0.2794449514340896,True,75.45582396583632
trial03_d64_p6_lr0p001_e2_do0p1.csv,timexer_full_exog_d64_h4_e2_dropout0.1_patch6_lr0.001_anchor1,non_overlap,0.222800396100946,0.1543211831321208,0.0834699680931876,0.047634492755731,0.1900317317800494,0.2299631758790631,0.228007247993228,False,train_gate_after_fit,0.2794449514340896,True,75.45582396583632
trial04_d128_p6_lr0p0001_e2_do0p1.csv,timexer_full_exog_d128_h4_e2_dropout0.1_patch6_lr0.0001_anchor1,rolling_origin_no_refit,0.2270477981250958,0.1518612817629219,0.0813426906110499,0.0495504977711256,0.1821217861075939,0.2197729088410492,0.2446327914138475,False,train_gate_after_fit,0.2840818436190482,True,122.2853951570578
trial04_d128_p6_lr0p0001_e2_do0p1.csv,timexer_full_exog_d128_h4_e2_dropout0.1_patch6_lr0.0001_anchor1,non_overlap,0.2172854261367158,0.1449720865998782,0.0834699680931876,0.047634492755731,0.1784927963686619,0.2259138176044261,0.2231172742033276,False,train_gate_after_fit,0.2840818436190482,True,122.2853951570578
trial05_d128_p6_lr0p0003_e2_do0p1.csv,timexer_full_exog_d128_h4_e2_dropout0.1_patch6_lr0.0003_anchor1,rolling_origin_no_refit,0.2352378191975523,0.1568762484116757,0.0813426906110499,0.0495504977711256,0.1892180972476747,0.2331527887065522,0.2499980369226974,False,train_gate_after_fit,0.2825853127931467,True,124.08617517887616
trial05_d128_p6_lr0p0003_e2_do0p1.csv,timexer_full_exog_d128_h4_e2_dropout0.1_patch6_lr0.0003_anchor1,non_overlap,0.2232972046389304,0.1493683086224078,0.0834699680931876,0.047634492755731,0.1859035172059513,0.2375239371161654,0.2249255361828965,False,train_gate_after_fit,0.2825853127931467,True,124.08617517887616
trial06_d128_p6_lr0p001_e2_do0p1.csv,timexer_full_exog_d128_h4_e2_dropout0.1_patch6_lr0.001_anchor1,rolling_origin_no_refit,0.2429138657560402,0.1623316030710139,0.0813426906110499,0.0495504977711256,0.1963740219449345,0.2374647804042869,0.25993657989307,False,train_gate_after_fit,0.2761611601467305,True,122.29968604492024
trial06_d128_p6_lr0p001_e2_do0p1.csv,timexer_full_exog_d128_h4_e2_dropout0.1_patch6_lr0.001_anchor1,non_overlap,0.2345016268805924,0.158783587829595,0.0834699680931876,0.047634492755731,0.1927176290188727,0.2443556657423052,0.2404070234432162,False,train_gate_after_fit,0.2761611601467305,True,122.29968604492024
trial07_d64_p12_lr0p0003_e2_do0p1.csv,timexer_full_exog_d64_h4_e2_dropout0.1_patch12_lr0.0003_anchor1,rolling_origin_no_refit,0.240430770045065,0.1638412666806958,0.0813426906110499,0.0495504977711256,0.189120801924173,0.2311080688711261,0.2609298592800071,False,train_gate_after_fit,0.2856393116287288,True,39.20934734889306
trial07_d64_p12_lr0p0003_e2_do0p1.csv,timexer_full_exog_d64_h4_e2_dropout0.1_patch12_lr0.0003_anchor1,non_overlap,0.2288714514282361,0.1549253775844351,0.0834699680931876,0.047634492755731,0.1779038844861216,0.2365780632543253,0.2385404895970621,False,train_gate_after_fit,0.2856393116287288,True,39.20934734889306
trial08_d128_p12_lr0p0003_e2_do0p1.csv,timexer_full_exog_d128_h4_e2_dropout0.1_patch12_lr0.0003_anchor1,rolling_origin_no_refit,0.2579554848790624,0.1774095004686626,0.0813426906110499,0.0495504977711256,0.2067432220417098,0.2516999477717602,0.2767656685105963,False,train_gate_after_fit,0.2808785134508492,True,70.4332555742003
