dataset_id,model_id,model_variant,task_id,window_protocol,history_steps,forecast_steps,stride_steps,split_protocol,split_name,eval_protocol,metric_scope,lead_step,lead_minutes,window_count,prediction_count,start_timestamp,end_timestamp,mae_kw,rmse_kw,mae_pu,rmse_pu,graph_mode,graph_source,coordinate_mode,node_count,input_channels,hidden_dim,embed_dim,num_layers,cheb_k,grad_clip_norm,device,runtime_seconds,train_window_count,val_window_count,test_window_count,best_epoch,epochs_ran,best_val_rmse_pu,seed,batch_size,learning_rate
kelmarsh,AGCRN,masked_power_wd_yaw_pmean_hist_sincos_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,10,100,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,207.0270814111423,291.22935134787616,0.10098882026413275,0.14206309866152778,adaptive,learned_node_embeddings,latlon,6,12,64,10,2,2,5.0,cuda,1250.530391,325905,47139,94458,1,6,0.1610143208441933,42,512,0.001
kelmarsh,AGCRN,masked_power_wd_yaw_pmean_hist_sincos_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,11,110,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,212.10899004865334,298.4316772074534,0.10346780013979849,0.14557642785167016,adaptive,learned_node_embeddings,latlon,6,12,64,10,2,2,5.0,cuda,1250.530391,325905,47139,94458,1,6,0.1610143208441933,42,512,0.001
kelmarsh,AGCRN,masked_power_wd_yaw_pmean_hist_sincos_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,12,120,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,220.44298078935094,304.8063433300271,0.10753316111114668,0.14868602131933292,adaptive,learned_node_embeddings,latlon,6,12,64,10,2,2,5.0,cuda,1250.530391,325905,47139,94458,1,6,0.1610143208441933,42,512,0.001
kelmarsh,AGCRN,masked_power_wd_yaw_pmean_hist_sincos_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,13,130,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,225.38175573872493,310.7883311296629,0.10994231970626005,0.15160406440737165,adaptive,learned_node_embeddings,latlon,6,12,64,10,2,2,5.0,cuda,1250.530391,325905,47139,94458,1,6,0.1610143208441933,42,512,0.001
kelmarsh,AGCRN,masked_power_wd_yaw_pmean_hist_sincos_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,14,140,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,228.7377624525804,316.1052058793836,0.11157939564078312,0.15419766121187067,adaptive,learned_node_embeddings,latlon,6,12,64,10,2,2,5.0,cuda,1250.530391,325905,47139,94458,1,6,0.1610143208441933,42,512,0.001
kelmarsh,AGCRN,masked_power_wd_yaw_pmean_hist_sincos_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,15,150,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,237.53276613164851,322.5794479003529,0.1158696428695689,0.15735582745086737,adaptive,learned_node_embeddings,latlon,6,12,64,10,2,2,5.0,cuda,1250.530391,325905,47139,94458,1,6,0.1610143208441933,42,512,0.001
kelmarsh,AGCRN,masked_power_wd_yaw_pmean_hist_sincos_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,16,160,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,240.50573869718386,327.42515276595987,0.11731987110975352,0.1597195872933859,adaptive,learned_node_embeddings,latlon,6,12,64,10,2,2,5.0,cuda,1250.530391,325905,47139,94458,1,6,0.1610143208441933,42,512,0.001
kelmarsh,AGCRN,masked_power_wd_yaw_pmean_hist_sincos_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,17,170,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,243.63868813595954,332.55395495190567,0.11884814022699308,0.16222144176772896,adaptive,learned_node_embeddings,latlon,6,12,64,10,2,2,5.0,cuda,1250.530391,325905,47139,94458,1,6,0.1610143208441933,42,512,0.001
kelmarsh,AGCRN,masked_power_wd_yaw_pmean_hist_sincos_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,18,180,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,248.1032441675232,337.0988391036771,0.12102597464595392,0.1644384579674826,adaptive,learned_node_embeddings,latlon,6,12,64,10,2,2,5.0,cuda,1250.530391,325905,47139,94458,1,6,0.1610143208441933,42,512,0.001
kelmarsh,AGCRN,masked_power_wd_yaw_pmean_hist_sincos_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,19,190,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,248.59965395568608,340.7145141910301,0.12126812369481962,0.16620220175022138,adaptive,learned_node_embeddings,latlon,6,12,64,10,2,2,5.0,cuda,1250.530391,325905,47139,94458,1,6,0.1610143208441933,42,512,0.001
